delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
541.0,2014,78.0,1524,7,10
43.0,2016,83.0,221,7,10
677.0,2017,62.0,857,5,12
52.0,2017,63.0,167,5,12
60.0,2018,68.0,149,5,12
28.0,2014,75.0,859,12,12
86.0,2013,59.0,134,12,10
60.0,2018,84.0,44,13,11
3.0,2012,70.0,30,14,1
180.0,1997,98.0,11,26,10
83.0,2013,80.0,53,4,10
86.0,2013,29.0,6273,10,10
90.0,2012,71.0,373,5,10
96.0,2016,86.0,511,13,10
100.0,1994,59.0,19,24,10
22.0,2013,76.0,260,12,10
21.0,2014,77.0,223,12,10
21.0,2015,81.0,196,12,10
43.0,2015,70.0,23,1,10
42.0,2016,69.0,23,1,10
46.0,2013,70.0,12,13,10
93.0,1957,72.0,26,5,10
76.0,2014,63.0,180,5,10
42.0,2016,78.0,11,5,10
29.0,2015,95.0,105,12,10
91.0,1987,56.0,125,1,10
7.0,2011,32.0,29,14,9
22.0,2016,74.0,42,12,10
20.0,2018,74.0,40,12,10
3624.0,2013,57.0,2520,12,10
4.0,2008,60.0,775,14,10
50.0,2012,86.0,57,4,6
60.0,2009,89.0,30,12,11
4.0,2001,62.0,147,14,10
2028.0,2012,71.0,11,4,1
43.0,2021,83.0,31,13,10
58.0,2017,86.0,169,5,10
56.0,2014,71.0,169,5,12
24.0,2011,85.0,392,14,10
4.0,2013,34.0,25,14,11
25.0,2013,90.0,18,2,3
25.0,2013,79.0,16,2,3
24.0,2014,89.0,11,2,3
5.0,2002,77.0,279,14,10
23.0,2012,51.0,32,14,9
45.0,2012,85.0,221,4,6
6.0,2009,18.0,196,5,10
4.0,2013,63.0,292,14,10
5.0,2013,63.0,29,2,11
250.0,2013,93.0,18,4,10
4.0,2013,46.0,18,14,10
50.0,2013,83.0,26,4,6
96.0,1998,48.0,73,5,10
44.0,2014,63.0,13,5,10
102.0,2016,35.0,11,1,10
94.0,2014,22.0,45,10,10
264.0,2019,85.0,19,4,11
42.0,2016,73.0,14,5,10
27.0,2015,73.0,18,4,12
70.0,2013,73.0,47,11,9
86.0,2018,68.0,7277,2,10
52.0,2011,77.0,124,4,1
23.0,2014,78.0,30,2,3
430.0,2016,78.0,334,5,10
47.0,2013,60.0,143,5,12
4.0,1995,86.0,67,14,10
91.0,2014,56.0,558,5,10
20.0,2015,74.0,62,12,10
23.0,2016,75.0,41,12,10
40.0,2014,54.0,13,5,10
13.0,1908,64.0,10,14,10
3.0,2011,53.0,200,14,11
1234.0,2004,86.0,22,13,7
51.0,2017,77.0,74,13,10
52.0,2013,35.0,162,14,10
6.0,2013,75.0,247,20,12
113.0,1956,77.0,29,5,1
193.0,2014,67.0,65,26,10
52.0,2014,81.0,41,11,12
42.0,2021,51.0,64,1,10
112.0,2014,53.0,59,28,3
44.0,2014,80.0,333,13,10
2.0,2013,68.0,36,14,11
42.0,2013,57.0,19,4,6
27.0,2014,67.0,12,4,9
11.0,2007,88.0,73,2,10
10.0,1984,60.0,11,14,3
42.0,2017,80.0,43,12,10
4.0,2013,62.0,64,14,10
576.0,2014,74.0,198,2,3
50.0,2014,85.0,123,4,10
56.0,2018,67.0,191,1,10
5.0,2014,90.0,173,12,12
79.0,2014,54.0,446,10,4
2.0,2013,68.0,17,14,10
83.0,2015,53.0,888,10,10
44.0,2014,83.0,94,13,10
1367.0,2013,54.0,17,12,10
56.0,2015,46.0,17,22,12
63.0,2015,61.0,115,12,12
6.0,2010,25.0,25,14,10
92.0,2016,77.0,36,4,10
61.0,2020,81.0,109,5,10
56.0,2014,71.0,167,3,12
43.0,2015,69.0,68,3,10
4.0,1999,44.0,65,11,12
42.0,2016,80.0,10,12,10
44.0,2009,40.0,25,14,10
48.0,2017,69.0,15,5,10
114.0,2014,76.0,110,4,6
88.0,1968,69.0,34,30,2
21.0,2017,65.0,13,12,10
4.0,2004,70.0,109,14,12
4.0,2012,55.0,75,14,12
41.0,2016,57.0,20,13,10
25.0,2020,78.0,13,2,3
25.0,2014,93.0,23,2,3
64.0,2014,88.0,26,11,12
45.0,2020,71.0,32,13,11
4.0,2014,59.0,15,14,11
41.0,1996,88.0,205,11,10
26.0,1996,79.0,82,14,1
3.0,2014,47.0,25,14,9
90.0,2014,38.0,17,1,6
43.0,2014,79.0,446,3,10
179.0,2015,89.0,34,26,10
88.0,2016,57.0,391,13,10
26.0,2015,79.0,41,4,12
93.0,2016,49.0,548,13,10
4.0,2014,86.0,43,14,10
62.0,2014,81.0,438,4,10
103.0,2017,64.0,44,12,11
91.0,2015,71.0,58,5,1
364.0,2009,60.0,10,2,1
54.0,2021,75.0,42,13,10
50.0,2015,68.0,70,12,9
59.0,2013,68.0,103,4,11
45.0,2017,73.0,52,5,10
3.0,2015,89.0,119,12,12
75.0,2015,71.0,55,5,11
27.0,2014,50.0,16,4,12
52.0,2012,81.0,129,4,6
22.0,2014,56.0,14,12,10
96.0,1997,32.0,31,1,10
57.0,2016,82.0,121,5,10
58.0,2017,88.0,116,5,10
305.0,2016,84.0,981,1,10
30.0,2018,84.0,301,1,10
40.0,2018,75.0,20,1,10
90.0,2014,46.0,82,28,10
5.0,2002,82.0,183,14,12
58.0,2015,83.0,468,13,12
86.0,2015,41.0,850,10,10
48.0,2016,91.0,422,13,10
2.0,1956,65.0,30,11,10
15.0,2014,74.0,10,14,4
22.0,2015,67.0,11,12,10
25.0,2015,85.0,13,2,3
25.0,2019,78.0,13,2,3
276.0,2015,49.0,21,2,3
22.0,2017,80.0,12,2,10
5.0,1974,55.0,11,11,11
28.0,2018,76.0,25,12,10
27.0,2019,83.0,25,12,10
60.0,2013,87.0,42,4,11
90.0,2005,15.0,31,12,6
81.0,2015,65.0,70,4,10
55.0,2016,58.0,64,12,12
59.0,2019,77.0,48,5,10
25.0,2016,44.0,11,12,9
26.0,2009,80.0,19,4,1
63.0,2018,93.0,125,4,10
91.0,2016,46.0,283,10,10
42.0,2016,60.0,11,5,10
23.0,2016,87.0,45,2,3
73.0,1952,37.0,18,5,10
18.0,2015,80.0,10,2,3
107.0,2016,61.0,14,23,4
52.0,2014,64.0,25,4,8
49.0,2015,82.0,22,4,11
90.0,1975,93.0,123,11,11
90.0,1990,52.0,137,12,10
52.0,2015,80.0,14,12,1
50.0,2019,63.0,281,24,10
62.0,2015,84.0,53,4,11
45.0,2015,87.0,11,4,6
63.0,2015,70.0,10,4,1
91.0,1994,22.0,736,1,10
6.0,2013,49.0,56,14,10
4.0,2010,70.0,80,14,10
91.0,2002,67.0,5890,12,10
82.0,2016,66.0,10,4,10
427.0,2017,68.0,148,17,10
70.0,2016,62.0,13,4,13
33.0,2017,80.0,24,12,10
29.0,2019,80.0,19,12,10
23.0,2016,74.0,13,2,3
27.0,2016,73.0,71,14,1
25.0,2016,80.0,33,2,3
4.0,2008,64.0,23,11,10
47.0,2018,76.0,45,13,11
26.0,2016,83.0,13,4,12
30.0,2016,47.0,38,27,10
18.0,1986,71.0,106,14,3
26.0,1944,72.0,123,28,11
50.0,2017,68.0,16,5,6
90.0,2016,40.0,19,5,10
43.0,2018,70.0,27,5,10
83.0,2016,42.0,67,17,10
87.0,2016,46.0,59,12,10
44.0,2019,93.0,40,13,10
24.0,2019,73.0,23,2,3
21.0,2018,65.0,13,12,10
22.0,2017,65.0,13,12,10
90.0,2013,55.0,13,4,1
48.0,2014,83.0,24,4,6
58.0,2015,67.0,12,4,1
45.0,2015,64.0,34,4,4
160.0,2024,66.0,2156,7,10
43.0,2019,79.0,130,13,10
4.0,1996,56.0,11,14,10
90.0,1959,68.0,38,24,3
17.0,2007,31.0,13,20,12
3.0,2016,65.0,32,14,12
80.0,1964,71.0,11,10,10
237.0,2017,73.0,9312,12,12
80.0,2016,21.0,27,2,4
14.0,2015,33.0,57,10,12
90.0,1994,22.0,205,1,10
50.0,2014,65.0,173,21,10
5.0,2011,66.0,51,14,10
42.0,1987,52.0,23,11,10
86.0,1998,23.0,78,5,10
120.0,2017,62.0,65,5,3
121.0,1996,75.0,15998,1,10
44.0,2012,90.0,523,5,10
71.0,2016,59.0,14,2,10
70.0,2016,23.0,12,20,12
122.0,2016,85.0,474,4,11
76.0,2016,43.0,71,5,10
35.0,1989,51.0,16,11,10
828.0,2016,75.0,13,1,4
49.0,2017,82.0,114,12,10
81.0,2007,54.0,10,5,10
100.0,1941,78.0,2875,8,10
80.0,2016,79.0,199,4,6
22.0,2017,65.0,11,10,10
144.0,2016,56.0,68,2,9
43.0,2016,64.0,16,5,4
98.0,1995,77.0,2544,12,10
55.0,2017,59.0,63,5,12
55.0,2018,50.0,53,5,12
52.0,2015,75.0,30,4,1
23.0,2017,68.0,33,12,10
11.0,2009,35.0,15,14,10
4.0,2008,42.0,12,14,10
48.0,2018,55.0,101,13,12
45.0,2019,56.0,106,13,12
85.0,2016,80.0,11,4,1
24.0,2017,81.0,33,2,3
57.0,2002,53.0,12,14,10
124.0,2016,54.0,39,19,10
108.0,2017,54.0,318,5,10
95.0,2016,65.0,20,5,7
3.0,2014,55.0,12,14,10
46.0,2007,58.0,10,14,10
4.0,1979,77.0,40,14,11
30.0,2017,80.0,13,12,10
252.0,2019,79.0,29,5,4
42.0,2017,56.0,69,12,9
83.0,2015,90.0,14,4,10
101.0,2017,69.0,318,5,10
26.0,2017,73.0,194,12,10
35.0,2008,30.0,10,14,10
72.0,1990,63.0,39,12,6
69.0,2017,70.0,25,12,10
34.0,2008,78.0,10,14,11
32.0,2017,73.0,112,12,10
65.0,1958,55.0,182,24,10
52.0,2013,75.0,127,4,1
13.0,2017,82.0,48,2,12
10.0,2014,47.0,15,14,12
78.0,2005,43.0,44,12,10
9.0,2016,34.0,10,12,12
43.0,2019,84.0,193,5,10
43.0,2020,78.0,147,5,10
43.0,2021,55.0,136,5,10
83.0,2019,64.0,1770,5,12
26.0,2015,61.0,24,4,12
80.0,2015,16.0,32,28,10
38.0,2016,72.0,38,14,12
288.0,2017,54.0,34,2,3
52.0,2017,40.0,13,4,1
55.0,2017,65.0,183,13,12
92.0,1963,73.0,304,17,2
2.0,1964,50.0,16,11,11
43.0,2018,70.0,33,1,10
42.0,2021,68.0,25,1,10
48.0,2019,87.0,156,12,10
44.0,2019,74.0,23,5,10
35.0,2013,40.0,11,14,10
30.0,2009,56.0,21,14,11
91.0,2016,36.0,176,28,4
43.0,2019,74.0,14,5,10
22.0,2018,43.0,13,5,10
94.0,2015,47.0,67,5,10
1.0,1991,54.0,14,11,10
43.0,2018,85.0,33,5,10
45.0,2017,58.0,23,21,10
276.0,2017,51.0,15,2,3
3.0,2017,81.0,45,14,10
42.0,2018,74.0,16,3,10
41.0,2018,72.0,13,3,10
52.0,2020,90.0,1140,1,13
45.0,2013,61.0,23,2,3
4.0,2016,20.0,16,14,12
10.0,1981,71.0,43,14,10
31.0,2019,86.0,118,12,10
34.0,2019,91.0,116,12,10
58.0,2021,66.0,35,13,10
125.0,2016,81.0,65,5,3
3.0,2006,67.0,20,14,9
3.0,2006,35.0,26,11,12
28.0,2022,63.0,195,2,10
3.0,2014,57.0,46,14,10
50.0,2019,69.0,35,13,10
87.0,2012,69.0,42,12,10
47.0,2017,56.0,67,14,10
89.0,2017,53.0,1370,5,10
6.0,1994,80.0,62,14,11
108.0,2014,68.0,26,2,3
18.0,2013,66.0,20,2,3
27.0,2017,81.0,123,2,10
86.0,2017,82.0,10,11,6
101.0,2017,49.0,37,28,8
23.0,2017,74.0,19,14,4
99.0,2017,85.0,96,2,3
108.0,1947,78.0,95,5,3
30.0,2020,88.0,71,5,10
43.0,2018,81.0,54,1,10
48.0,2018,80.0,10,4,10
52.0,2016,84.0,33,4,13
288.0,2017,58.0,58,2,3
147.0,2017,84.0,1053,4,10
80.0,2017,26.0,13,11,12
29.0,2017,68.0,25,4,12
54.0,2012,89.0,199,1,10
4.0,2017,53.0,16,14,12
66.0,2017,72.0,44,12,10
19.0,2019,76.0,294,12,10
57.0,1984,71.0,22,14,10
43.0,2018,81.0,111,5,10
23.0,2017,73.0,12,12,11
3.0,2010,39.0,49,11,12
87.0,2017,43.0,105,23,10
53.0,2016,88.0,1276,30,10
57.0,2017,91.0,878,30,10
39.0,2017,54.0,14,14,10
27.0,2022,82.0,149,12,10
48.0,2021,81.0,312,5,10
4.0,2013,86.0,38,14,12
89.0,1989,63.0,45,10,2
86.0,2018,60.0,13,5,10
3.0,2018,75.0,13,14,10
47.0,2022,79.0,54,5,10
5.0,2015,75.0,19,14,9
90.0,2004,54.0,60,13,6
90.0,2008,56.0,54,13,6
33.0,2016,83.0,21,14,12
103.0,2000,55.0,72,12,10
59.0,2017,63.0,63,4,11
55.0,1998,84.0,19,14,11
46.0,2019,78.0,311,24,10
56.0,2016,45.0,22,12,12
58.0,2016,42.0,21,12,12
82.0,2018,58.0,56,12,4
84.0,2018,59.0,34,12,10
100.0,2018,86.0,35,4,2
44.0,2011,75.0,16,4,6
53.0,2021,82.0,24,5,10
90.0,2018,49.0,11,5,6
51.0,2018,84.0,57,4,10
6.0,2018,40.0,48,12,12
71.0,2018,64.0,10,4,10
75.0,2018,77.0,86,4,10
48.0,2017,75.0,41,4,11
16.0,2018,78.0,25,2,3
3.0,2018,56.0,10,14,12
45.0,2018,67.0,11,4,12
21.0,2019,64.0,11,12,10
43.0,2019,78.0,67,5,10
42.0,2018,91.0,20,12,10
47.0,2019,80.0,286,1,10
23.0,2020,90.0,107,2,10
18.0,2018,81.0,18,4,10
52.0,2017,85.0,159,4,1
50.0,1990,76.0,375,5,10
62.0,2018,61.0,77,12,12
60.0,2019,61.0,50,12,12
3.0,2018,27.0,11,14,12
127.0,2018,63.0,31,12,4
45.0,2005,60.0,71,4,10
44.0,2005,65.0,46,4,10
7.0,2008,54.0,53,14,12
90.0,2000,41.0,31,13,6
52.0,2018,56.0,11,13,1
44.0,2019,68.0,51,5,10
42.0,2019,55.0,114,5,10
22.0,2019,71.0,45,2,10
4.0,2014,32.0,10,14,9
4.0,2017,61.0,19,14,9
6.0,2016,76.0,33,14,10
108.0,2018,84.0,620,2,3
90.0,2018,35.0,21,5,10
100.0,2018,70.0,57,12,7
52.0,2015,64.0,14,11,12
45.0,2016,62.0,10,4,6
23.0,2021,74.0,23,2,3
480.0,2019,58.0,101,5,10
5.0,2015,63.0,34,14,12
30.0,2018,79.0,16,12,11
42.0,2018,85.0,40,4,10
10.0,2013,78.0,26,14,11
52.0,2018,76.0,80,4,12
45.0,2018,73.0,22,4,11
97.0,1993,59.0,1196,12,10
15.0,2018,75.0,163,14,1
49.0,1996,61.0,24,11,9
90.0,2016,43.0,148,1,10
44.0,2016,50.0,12,14,10
29.0,2018,75.0,55,14,12
45.0,2019,78.0,45,5,2
90.0,2018,78.0,77,2,10
52.0,2018,63.0,15,11,12
24.0,2018,73.0,15,2,10
95.0,1984,64.0,137,5,10
24.0,2019,71.0,23,2,3
24.0,2019,89.0,47,2,3
88.0,2015,73.0,182,5,7
50.0,2015,79.0,47,4,10
4.0,2018,56.0,17,14,9
25.0,1972,88.0,318,12,10
23.0,1995,78.0,21,12,10
23.0,1996,81.0,22,12,10
23.0,1997,79.0,20,12,10
26.0,1955,71.0,36,13,10
42.0,2016,67.0,554,5,10
22.0,2003,89.0,466,12,10
3018.0,1969,66.0,17,12,10
45.0,1986,68.0,37,5,10
44.0,2003,88.0,41,5,10
44.0,2003,91.0,43,5,10
46.0,1996,62.0,59,24,10
23.0,1960,82.0,13,2,10
26.0,1961,83.0,12,2,10
650.0,1964,79.0,19,2,10
7.0,1965,88.0,190,2,10
8.0,1949,92.0,431,2,10
45.0,1995,85.0,36,5,10
45.0,1996,78.0,31,5,10
45.0,2001,71.0,17,5,10
45.0,2001,71.0,15,5,10
45.0,2002,68.0,16,5,10
45.0,2006,65.0,15,5,10
45.0,2009,64.0,14,5,10
433.0,1995,80.0,405,24,10
56.0,1999,89.0,20,13,10
57.0,2002,84.0,18,13,10
60.0,1997,78.0,10,5,10
7.0,2000,72.0,28,14,10
690.0,1997,87.0,367,5,12
45.0,1995,70.0,33,5,10
45.0,1995,66.0,32,5,10
45.0,1997,65.0,24,5,10
45.0,1999,53.0,21,5,10
45.0,1989,80.0,135,24,10
45.0,1990,67.0,127,24,10
46.0,1990,66.0,121,24,10
45.0,1997,66.0,73,24,10
45.0,2000,64.0,76,24,10
22.0,1987,72.0,18,13,10
22.0,1988,64.0,16,13,10
22.0,1989,70.0,16,13,10
55.0,2006,90.0,147,5,10
46.0,1991,63.0,62,5,10
46.0,1992,59.0,59,5,10
44.0,1997,50.0,37,5,10
45.0,1990,75.0,11,12,10
952.0,2004,79.0,159,3,10
43.0,2005,82.0,75,3,10
44.0,2004,89.0,49,1,10
44.0,2005,88.0,44,1,10
44.0,2000,71.0,16,1,4
4213.0,1997,48.0,4846,1,4
45.0,2003,73.0,45,1,10
45.0,2006,74.0,43,1,10
943.0,1998,80.0,17,5,10
47.0,1993,62.0,28,3,10
45.0,1994,56.0,20,3,10
44.0,1997,57.0,18,3,10
42.0,1997,51.0,21,3,10
43.0,2002,72.0,10,13,10
30.0,2000,69.0,123,12,10
47.0,1985,72.0,26,12,10
24.0,1988,75.0,21,12,10
23.0,1993,68.0,15,12,10
23.0,1994,69.0,15,12,10
22.0,1995,69.0,14,12,10
22.0,1994,80.0,159,12,10
22.0,1998,79.0,133,12,10
42.0,2000,74.0,74,5,10
360.0,2014,62.0,24,13,1
43.0,2004,85.0,26,13,10
41.0,2009,78.0,17,13,10
1007.0,2009,77.0,38,13,10
42.0,2020,76.0,14,13,10
42.0,2021,72.0,10,13,10
25.0,1995,87.0,30,10,10
48.0,1975,60.0,24,13,10
49.0,1979,71.0,26,5,10
49.0,1980,68.0,26,5,10
49.0,1980,71.0,26,5,10
49.0,1983,62.0,21,5,10
47.0,1988,56.0,16,5,10
48.0,1990,51.0,16,5,10
48.0,1990,53.0,16,5,10
42.0,1997,70.0,35,12,10
60.0,2003,88.0,41,13,10
60.0,2006,96.0,34,13,10
43.0,2003,72.0,17,5,10
55.0,2020,83.0,355,1,10
50.0,2022,62.0,163,1,10
45.0,1994,73.0,19,5,10
42.0,2002,78.0,26,3,10
42.0,2003,77.0,24,3,10
28.0,2020,68.0,10,12,10
102.0,1968,64.0,10,13,10
834.0,1993,61.0,652,5,10
22.0,1993,83.0,23,5,10
47.0,1985,82.0,52,1,11
22.0,1993,66.0,13,12,10
95.0,1979,58.0,70,5,11
41.0,2019,64.0,28,4,10
48.0,1995,79.0,53,2,10
56.0,1994,75.0,84,23,12
100.0,2019,46.0,427,13,10
48.0,1986,63.0,15,1,10
45.0,2001,89.0,100,1,10
5837.0,2000,56.0,268,5,10
45.0,2019,72.0,13,4,11
46.0,2002,71.0,20,13,10
46.0,2003,67.0,20,13,10
60.0,1999,16.0,2677,1,10
299.0,1987,80.0,182,12,10
23.0,1997,68.0,50,12,10
25.0,1966,85.0,29,12,10
90.0,1999,85.0,491,4,10
41.0,2002,66.0,20,13,10
42.0,2009,60.0,14,13,10
44.0,2003,73.0,12,5,10
45.0,1997,69.0,32,1,10
45.0,1999,82.0,47,1,10
43.0,2006,81.0,111,12,10
41.0,2009,76.0,97,12,10
144.0,2019,70.0,18,2,3
44.0,1993,59.0,28,1,10
43.0,1993,58.0,25,1,10
43.0,1994,59.0,27,1,10
43.0,1995,52.0,20,1,10
22.0,2018,85.0,22,2,10
56.0,2019,75.0,34,1,10
51.0,2021,74.0,19,1,10
21.0,1989,62.0,11,12,10
21.0,1991,68.0,10,12,10
109.0,1981,69.0,487,13,10
58.0,2000,74.0,69,13,12
28.0,1993,74.0,204,18,12
28.0,1993,73.0,189,18,12
22.0,1996,87.0,65,12,10
22.0,1997,84.0,58,12,10
50.0,2020,54.0,17,1,10
15.0,2018,67.0,18,14,4
23.0,1991,73.0,30,12,10
10439.0,1981,18.0,5111,5,10
16.0,2014,21.0,28,14,12
3.0,2019,70.0,29,4,12
572.0,2015,69.0,18,2,11
22.0,1992,90.0,620,2,10
22.0,1996,86.0,459,2,10
464.0,2014,78.0,932,2,10
22.0,2000,89.0,386,2,10
22.0,2002,90.0,370,2,10
21.0,2009,91.0,332,2,10
21.0,2020,59.0,204,2,10
45.0,2017,60.0,19,14,10
55.0,1976,84.0,36,5,11
23.0,2007,87.0,39,2,10
23.0,2016,80.0,23,2,10
50.0,1995,69.0,88,5,12
52.0,1997,65.0,68,5,12
50.0,2005,75.0,19,5,10
67.0,2008,86.0,13,26,10
42.0,2019,33.0,11,21,10
29.0,2019,85.0,56,5,10
28.0,2020,77.0,45,5,10
8.0,1942,78.0,97,2,10
138.0,1974,73.0,58,2,10
82.0,2019,39.0,68,28,10
30.0,2019,80.0,13,12,10
23.0,1996,76.0,19,12,10
25.0,2021,90.0,40,2,10
85.0,2019,84.0,10,4,4
26.0,2019,71.0,15,2,3
21.0,1929,64.0,36,12,10
26.0,1930,69.0,38,14,10
120.0,2019,84.0,33,4,10
24.0,2020,85.0,22,2,10
23.0,2000,74.0,22,12,10
22.0,2019,62.0,17,12,10
45.0,2020,39.0,138,5,10
70.0,1992,54.0,19,2,10
51.0,2020,71.0,108,1,10
60.0,1998,84.0,836,13,10
25.0,2021,74.0,48,30,10
351.0,2021,69.0,4555,30,12
64.0,2019,74.0,31,28,13
100.0,2019,56.0,122,12,11
98.0,1995,65.0,100,1,10
1980.0,2000,36.0,218,1,10
26.0,2019,73.0,77,14,10
22.0,1990,84.0,54,2,10
96.0,2019,79.0,21,5,3
20.0,1999,77.0,14,2,10
1113.0,1997,63.0,204,2,10
105.0,1990,93.0,103,11,3
12.0,2019,6.0,273,12,12
22.0,2013,87.0,262,2,10
30.0,2019,18.0,78,25,12
29.0,1999,85.0,21,4,12
56.0,2018,81.0,34,4,1
105.0,2015,36.0,15,29,10
30.0,2019,84.0,10,4,10
94.0,2019,34.0,71,23,4
45.0,2021,76.0,10,5,13
90.0,2021,50.0,35,12,10
26.0,2015,44.0,19,4,12
8.0,1990,79.0,30,14,11
54.0,2019,78.0,21,4,12
44.0,2019,53.0,23,13,11
113.0,1989,65.0,136,5,11
440.0,2002,81.0,50,5,11
100.0,2019,63.0,20,11,9
68.0,2020,47.0,318,12,12
63.0,2020,55.0,130,12,12
61.0,2020,50.0,104,12,12
24.0,1993,84.0,65,12,10
22.0,1996,76.0,53,12,10
22.0,1998,74.0,52,12,10
3.0,2020,91.0,18,14,11
147.0,1962,65.0,33,5,8
61.0,2020,69.0,28,4,10
7.0,2020,48.0,20,12,9
85.0,1998,28.0,12,13,10
9.0,2019,70.0,115,14,10
400.0,2020,51.0,87,22,9
103.0,2020,66.0,39,5,6
45.0,2020,79.0,28,4,10
1035.0,2020,68.0,144,13,11
89.0,2020,71.0,402,4,12
22.0,2000,81.0,255,2,10
22.0,2001,86.0,259,2,10
22.0,2008,82.0,223,2,10
22.0,2008,83.0,202,2,10
22.0,2018,83.0,244,2,10
5.0,1991,68.0,36,14,10
51.0,2021,82.0,352,5,13
52.0,2020,74.0,32,5,11
61.0,2020,80.0,52,4,10
155.0,2015,80.0,16,5,12
170.0,2001,60.0,533,7,10
910.0,2020,73.0,193,2,3
70.0,1939,78.0,45,29,10
41.0,2020,68.0,31,5,13
25.0,2020,81.0,41,2,10
45.0,2021,55.0,65,24,10
50.0,2022,63.0,1152,1,10
7.0,2019,58.0,24,14,6
24.0,1988,87.0,20,11,11
22.0,1989,87.0,33,2,10
24.0,1992,84.0,17,2,10
15.0,2020,58.0,13,22,12
275.0,2003,75.0,59,13,1
90.0,1995,62.0,13,10,10
14.0,2020,56.0,16,22,12
10.0,2020,33.0,98,12,12
42.0,2021,63.0,16,1,10
90.0,1948,68.0,16,29,10
104.0,2021,47.0,73,5,10
91.0,2020,19.0,18,10,10
30.0,2020,73.0,564,12,10
106.0,2020,67.0,11,5,13
55.0,1977,78.0,108,30,1
177.0,2020,87.0,126,2,10
47.0,2020,82.0,212,4,10
95.0,2020,61.0,19,5,1
90.0,2004,47.0,15,5,6
3.0,2014,65.0,11,14,10
160.0,1993,77.0,15,9,1
105.0,2020,60.0,855,24,4
96.0,1998,57.0,97,1,10
309.0,2020,82.0,477,12,10
55.0,2020,43.0,41,5,12
50.0,2020,64.0,34,1,10
91.0,1995,75.0,187,12,7
100.0,2001,40.0,46,3,10
58.0,2020,74.0,63,5,10
6.0,2013,54.0,16,14,12
93.0,2020,14.0,40,1,10
112.0,2002,58.0,7958,12,10
44.0,2021,81.0,59,12,10
21.0,2020,43.0,22,4,12
4.0,2020,54.0,13,14,12
88.0,1950,62.0,37,3,10
57.0,2020,87.0,17,11,12
184.0,2001,66.0,47,5,6
568.0,2020,72.0,2853,1,6
88.0,1997,48.0,10,2,10
96.0,1992,78.0,89,4,6
75.0,1967,51.0,26,24,11
1032.0,1987,80.0,11,2,3
4.0,2020,75.0,22,14,10
26.0,2020,84.0,56,4,12
93.0,1987,57.0,46,12,10
83.0,2020,47.0,38,4,10
10.0,2020,60.0,12,4,3
21.0,2004,82.0,48,12,10
60.0,2020,66.0,10,4,10
100.0,1962,74.0,18,1,2
292.0,2020,80.0,104,5,13
2280.0,1996,83.0,476,2,3
96.0,1972,85.0,133,5,3
48.0,2020,64.0,15,14,12
75.0,2001,76.0,351,2,10
22.0,1998,75.0,24,12,10
22.0,1999,74.0,21,12,10
50.0,2021,48.0,47,4,10
48.0,2021,77.0,340,4,10
47.0,2022,67.0,11,2,10
71.0,2024,87.0,1956,5,10
99.0,1985,76.0,11,5,13
89.0,1948,76.0,224,5,10
25.0,2020,83.0,14,4,12
1191.0,2021,39.0,589,5,12
12.0,2020,58.0,11,14,12
66.0,1933,75.0,11,5,10
109.0,1953,73.0,43,3,10
83.0,1931,78.0,456,5,10
52.0,2021,74.0,18,13,1
72.0,1932,65.0,13,5,10
100.0,2021,56.0,139,30,10
111.0,2001,75.0,17,12,3
87.0,2021,35.0,68,28,10
32.0,2021,63.0,24,5,10
28.0,2021,78.0,35,5,10
77.0,2021,67.0,14,5,12
90.0,2015,46.0,58,5,6
542.0,2016,66.0,102,5,10
100.0,1973,73.0,14,5,10
43.0,2020,79.0,31,4,6
44.0,2021,74.0,94,5,10
30.0,2006,58.0,10,14,9
22.0,2004,72.0,10,12,10
22.0,2005,68.0,10,12,10
194.0,2021,53.0,15,2,7
104.0,1999,64.0,35,12,5
12.0,1914,64.0,11,12,10
