delka,zeme,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zanr_id,zeme_id
100.0,Itálie,2018,86.0,35,Dokumentární,4,2
44.0,Německo,2011,75.0,16,Dokumentární,4,6
53.0,USA,2021,82.0,24,Drama,5,10
90.0,Německo,2018,49.0,11,Drama,5,6
51.0,USA,2018,84.0,57,Dokumentární,4,10
6.0,Česko,2018,40.0,48,Komedie,12,12
71.0,USA,2018,64.0,10,Dokumentární,4,10
75.0,USA,2018,77.0,86,Dokumentární,4,10
48.0,Velká Británie,2017,75.0,41,Dokumentární,4,11
16.0,Japonsko,2018,78.0,25,Animovaný,2,3
3.0,Česko,2018,56.0,10,Krátkometrážní,14,12
45.0,Česko,2018,67.0,11,Dokumentární,4,12
21.0,USA,2019,64.0,11,Komedie,12,10
43.0,USA,2019,78.0,67,Drama,5,10
42.0,USA,2018,91.0,20,Komedie,12,10
47.0,USA,2019,80.0,286,Akční,1,10
23.0,USA,2020,90.0,107,Animovaný,2,10
18.0,USA,2018,81.0,18,Dokumentární,4,10
52.0,Francie,2017,85.0,159,Dokumentární,4,1
50.0,USA,1990,76.0,375,Drama,5,10
62.0,Česko,2018,61.0,77,Komedie,12,12
60.0,Česko,2019,61.0,50,Komedie,12,12
3.0,Česko,2018,27.0,11,Krátkometrážní,14,12
127.0,Kanada,2018,63.0,31,Komedie,12,4
45.0,USA,2005,60.0,71,Dokumentární,4,10
44.0,USA,2005,65.0,46,Dokumentární,4,10
7.0,Česko,2008,54.0,53,Krátkometrážní,14,12
90.0,Německo,2000,41.0,31,Krimi,13,6
52.0,Francie,2018,56.0,11,Krimi,13,1
44.0,USA,2019,68.0,51,Drama,5,10
42.0,USA,2019,55.0,114,Drama,5,10
22.0,USA,2019,71.0,45,Animovaný,2,10
4.0,Slovensko,2014,32.0,10,Krátkometrážní,14,9
4.0,Slovensko,2017,61.0,19,Krátkometrážní,14,9
6.0,USA,2016,76.0,33,Krátkometrážní,14,10
108.0,Japonsko,2018,84.0,620,Animovaný,2,3
90.0,USA,2018,35.0,21,Drama,5,10
100.0,Polsko,2018,70.0,57,Komedie,12,7
52.0,Česko,2015,64.0,14,Hudební,11,12
45.0,Německo,2016,62.0,10,Dokumentární,4,6
23.0,Japonsko,2021,74.0,23,Animovaný,2,3
480.0,USA,2019,58.0,101,Drama,5,10
5.0,Česko,2015,63.0,34,Krátkometrážní,14,12
30.0,Velká Británie,2018,79.0,16,Komedie,12,11
42.0,USA,2018,85.0,40,Dokumentární,4,10
10.0,Velká Británie,2013,78.0,26,Krátkometrážní,14,11
52.0,Česko,2018,76.0,80,Dokumentární,4,12
45.0,Velká Británie,2018,73.0,22,Dokumentární,4,11
97.0,USA,1993,59.0,1 196,Komedie,12,10
15.0,Francie,2018,75.0,163,Krátkometrážní,14,1
49.0,Slovensko,1996,61.0,24,Hudební,11,9
90.0,USA,2016,43.0,148,Akční,1,10
44.0,USA,2016,50.0,12,Krátkometrážní,14,10
29.0,Česko,2018,75.0,55,Krátkometrážní,14,12
45.0,Itálie,2019,78.0,45,Drama,5,2
90.0,USA,2018,78.0,77,Animovaný,2,10
52.0,Česko,2018,63.0,15,Hudební,11,12
24.0,USA,2018,73.0,15,Animovaný,2,10
95.0,USA,1984,64.0,137,Drama,5,10
24.0,Japonsko,2019,71.0,23,Animovaný,2,3
24.0,Japonsko,2019,89.0,47,Animovaný,2,3
88.0,Polsko,2015,73.0,182,Drama,5,7
50.0,USA,2015,79.0,47,Dokumentární,4,10
4.0,Slovensko,2018,56.0,17,Krátkometrážní,14,9
25.0,USA,1972,88.0,318,Komedie,12,10
23.0,USA,1995,78.0,21,Komedie,12,10
23.0,USA,1996,81.0,22,Komedie,12,10
23.0,USA,1997,79.0,20,Komedie,12,10
26.0,USA,1955,71.0,36,Krimi,13,10
42.0,USA,2016,67.0,554,Drama,5,10
22.0,USA,2003,89.0,466,Komedie,12,10
3018.0,USA,(1969–1974),66.0,17,Komedie,12,10
45.0,USA,1986,68.0,37,Drama,5,10
44.0,USA,2003,88.0,41,Drama,5,10
44.0,USA,2003,91.0,43,Drama,5,10
46.0,USA,1996,62.0,59,Sci-Fi,24,10
23.0,USA,1960,82.0,13,Animovaný,2,10
26.0,USA,1961,83.0,12,Animovaný,2,10
650.0,USA,(1964–1965),79.0,19,Animovaný,2,10
7.0,USA,1965,88.0,190,Animovaný,2,10
8.0,USA,1949,92.0,431,Animovaný,2,10
45.0,USA,1995,85.0,36,Drama,5,10
45.0,USA,1996,78.0,31,Drama,5,10
45.0,USA,2001,71.0,17,Drama,5,10
45.0,USA,2001,71.0,15,Drama,5,10
45.0,USA,2002,68.0,16,Drama,5,10
45.0,USA,2006,65.0,15,Drama,5,10
45.0,USA,2009,64.0,14,Drama,5,10
433.0,USA,1995,80.0,405,Sci-Fi,24,10
56.0,USA,1999,89.0,20,Krimi,13,10
57.0,USA,2002,84.0,18,Krimi,13,10
60.0,USA,1997,78.0,10,Drama,5,10
7.0,USA,2000,72.0,28,Krátkometrážní,14,10
690.0,Česko,1997,87.0,367,Drama,5,12
45.0,USA,1995,70.0,33,Drama,5,10
45.0,USA,1995,66.0,32,Drama,5,10
45.0,USA,1997,65.0,24,Drama,5,10
45.0,USA,1999,53.0,21,Drama,5,10
45.0,USA,1989,80.0,135,Sci-Fi,24,10
45.0,USA,1990,67.0,127,Sci-Fi,24,10
46.0,USA,1990,66.0,121,Sci-Fi,24,10
45.0,USA,1997,66.0,73,Sci-Fi,24,10
45.0,USA,2000,64.0,76,Sci-Fi,24,10
22.0,USA,1987,72.0,18,Krimi,13,10
22.0,USA,1988,64.0,16,Krimi,13,10
22.0,USA,1989,70.0,16,Krimi,13,10
55.0,USA,2006,90.0,147,Drama,5,10
46.0,USA,1991,63.0,62,Drama,5,10
46.0,USA,1992,59.0,59,Drama,5,10
44.0,USA,1997,50.0,37,Drama,5,10
45.0,USA,1990,75.0,11,Komedie,12,10
952.0,USA,(2004–2005),79.0,159,Dobrodružný,3,10
43.0,USA,2005,82.0,75,Dobrodružný,3,10
44.0,USA,2004,89.0,49,Akční,1,10
44.0,USA,2005,88.0,44,Akční,1,10
44.0,Kanada,2000,71.0,16,Akční,1,4
4213.0,Kanada,(1997–2001),48.0,4 846,Akční,1,4
45.0,USA,2003,73.0,45,Akční,1,10
45.0,USA,2006,74.0,43,Akční,1,10
943.0,USA,(1998–1999),80.0,17,Drama,5,10
47.0,USA,1993,62.0,28,Dobrodružný,3,10
45.0,USA,1994,56.0,20,Dobrodružný,3,10
44.0,USA,1997,57.0,18,Dobrodružný,3,10
42.0,USA,1997,51.0,21,Dobrodružný,3,10
43.0,USA,2002,72.0,10,Krimi,13,10
30.0,USA,2000,69.0,123,Komedie,12,10
47.0,USA,1985,72.0,26,Komedie,12,10
24.0,USA,1988,75.0,21,Komedie,12,10
23.0,USA,1993,68.0,15,Komedie,12,10
23.0,USA,1994,69.0,15,Komedie,12,10
22.0,USA,1995,69.0,14,Komedie,12,10
22.0,USA,1994,80.0,159,Komedie,12,10
22.0,USA,1998,79.0,133,Komedie,12,10
42.0,USA,2000,74.0,74,Drama,5,10
360.0,Francie,2014,62.0,24,Krimi,13,1
43.0,USA,2004,85.0,26,Krimi,13,10
41.0,USA,2009,78.0,17,Krimi,13,10
1007.0,USA,(2009–2010),77.0,38,Krimi,13,10
42.0,USA,2020,76.0,14,Krimi,13,10
42.0,USA,2021,72.0,10,Krimi,13,10
25.0,USA,1995,87.0,30,Horor,10,10
48.0,USA,1975,60.0,24,Krimi,13,10
49.0,USA,1979,71.0,26,Drama,5,10
49.0,USA,1980,68.0,26,Drama,5,10
49.0,USA,1980,71.0,26,Drama,5,10
49.0,USA,1983,62.0,21,Drama,5,10
47.0,USA,1988,56.0,16,Drama,5,10
48.0,USA,1990,51.0,16,Drama,5,10
48.0,USA,1990,53.0,16,Drama,5,10
42.0,USA,1997,70.0,35,Komedie,12,10
60.0,USA,2003,88.0,41,Krimi,13,10
60.0,USA,2006,96.0,34,Krimi,13,10
43.0,USA,2003,72.0,17,Drama,5,10
55.0,USA,2020,83.0,355,Akční,1,10
50.0,USA,2022,62.0,163,Akční,1,10
45.0,USA,1994,73.0,19,Drama,5,10
42.0,USA,2002,78.0,26,Dobrodružný,3,10
42.0,USA,2003,77.0,24,Dobrodružný,3,10
28.0,USA,2020,68.0,10,Komedie,12,10
102.0,USA,1968,64.0,10,Krimi,13,10
834.0,USA,1993,61.0,652,Drama,5,10
22.0,USA,1993,83.0,23,Drama,5,10
47.0,Velká Británie,1985,82.0,52,Akční,1,11
22.0,USA,1993,66.0,13,Komedie,12,10
95.0,Velká Británie,1979,58.0,70,Drama,5,11
41.0,USA,2019,64.0,28,Dokumentární,4,10
48.0,USA,1995,79.0,53,Animovaný,2,10
56.0,Česko,1994,75.0,84,Romantický,23,12
100.0,USA,2019,46.0,427,Krimi,13,10
48.0,USA,1986,63.0,15,Akční,1,10
45.0,USA,2001,89.0,100,Akční,1,10
5837.0,USA,(2000–2006),56.0,268,Drama,5,10
45.0,Velká Británie,2019,72.0,13,Dokumentární,4,11
46.0,USA,2002,71.0,20,Krimi,13,10
46.0,USA,2003,67.0,20,Krimi,13,10
60.0,USA,1999,16.0,2 677,Akční,1,10
299.0,USA,1987,80.0,182,Komedie,12,10
23.0,USA,1997,68.0,50,Komedie,12,10
25.0,USA,1966,85.0,29,Komedie,12,10
90.0,USA,1999,85.0,491,Dokumentární,4,10
41.0,USA,2002,66.0,20,Krimi,13,10
42.0,USA,2009,60.0,14,Krimi,13,10
44.0,USA,2003,73.0,12,Drama,5,10
45.0,USA,1997,69.0,32,Akční,1,10
45.0,USA,1999,82.0,47,Akční,1,10
43.0,USA,2006,81.0,111,Komedie,12,10
41.0,USA,2009,76.0,97,Komedie,12,10
144.0,Japonsko,2019,70.0,18,Animovaný,2,3
44.0,USA,1993,59.0,28,Akční,1,10
43.0,USA,1993,58.0,25,Akční,1,10
43.0,USA,1994,59.0,27,Akční,1,10
43.0,USA,1995,52.0,20,Akční,1,10
22.0,USA,2018,85.0,22,Animovaný,2,10
56.0,USA,2019,75.0,34,Akční,1,10
51.0,USA,2021,74.0,19,Akční,1,10
21.0,USA,1989,62.0,11,Komedie,12,10
21.0,USA,1991,68.0,10,Komedie,12,10
109.0,USA,1981,69.0,487,Krimi,13,10
58.0,Česko,2000,74.0,69,Krimi,13,12
28.0,Česko,1993,74.0,204,Pohádka,18,12
28.0,Česko,1993,73.0,189,Pohádka,18,12
22.0,USA,1996,87.0,65,Komedie,12,10
22.0,USA,1997,84.0,58,Komedie,12,10
50.0,USA,2020,54.0,17,Akční,1,10
15.0,Kanada,2018,67.0,18,Krátkometrážní,14,4
23.0,USA,1991,73.0,30,Komedie,12,10
10439.0,USA,(1981–1989),18.0,5 111,Drama,5,10
16.0,Česko,2014,21.0,28,Krátkometrážní,14,12
3.0,Česko,2019,70.0,29,Dokumentární,4,12
572.0,Velká Británie,(2015–2016),69.0,18,Animovaný,2,11
22.0,USA,1992,90.0,620,Animovaný,2,10
22.0,USA,1996,86.0,459,Animovaný,2,10
464.0,USA,(2014–2015),78.0,932,Animovaný,2,10
22.0,USA,2000,89.0,386,Animovaný,2,10
22.0,USA,2002,90.0,370,Animovaný,2,10
21.0,USA,2009,91.0,332,Animovaný,2,10
21.0,USA,2020,59.0,204,Animovaný,2,10
45.0,USA,2017,60.0,19,Krátkometrážní,14,10
55.0,Velká Británie,1976,84.0,36,Drama,5,11
23.0,USA,2007,87.0,39,Animovaný,2,10
23.0,USA,2016,80.0,23,Animovaný,2,10
50.0,Česko,1995,69.0,88,Drama,5,12
52.0,Česko,1997,65.0,68,Drama,5,12
50.0,USA,2005,75.0,19,Drama,5,10
67.0,USA,2008,86.0,13,Sportovní,26,10
42.0,USA,2019,33.0,11,Reality-TV,21,10
29.0,USA,2019,85.0,56,Drama,5,10
28.0,USA,2020,77.0,45,Drama,5,10
8.0,USA,1942,78.0,97,Animovaný,2,10
138.0,USA,1974,73.0,58,Animovaný,2,10
82.0,USA,2019,39.0,68,Thriller,28,10
30.0,USA,2019,80.0,13,Komedie,12,10
23.0,USA,1996,76.0,19,Komedie,12,10
25.0,USA,2021,90.0,40,Animovaný,2,10
85.0,Kanada,2019,84.0,10,Dokumentární,4,4
26.0,Japonsko,2019,71.0,15,Animovaný,2,3
21.0,USA,1929,64.0,36,Komedie,12,10
26.0,USA,1930,69.0,38,Krátkometrážní,14,10
120.0,USA,2019,84.0,33,Dokumentární,4,10
24.0,USA,2020,85.0,22,Animovaný,2,10
23.0,USA,2000,74.0,22,Komedie,12,10
22.0,USA,2019,62.0,17,Komedie,12,10
45.0,USA,2020,39.0,138,Drama,5,10
70.0,USA,1992,54.0,19,Animovaný,2,10
51.0,USA,2020,71.0,108,Akční,1,10
60.0,USA,1998,84.0,836,Krimi,13,10
25.0,USA,2021,74.0,48,Životopisný,30,10
351.0,Česko,2021,69.0,4 555,Životopisný,30,12
64.0,Španělsko,2019,74.0,31,Thriller,28,13
100.0,Velká Británie,2019,56.0,122,Komedie,12,11
98.0,USA,1995,65.0,100,Akční,1,10
1980.0,USA,(2000–2001),36.0,218,Akční,1,10
26.0,USA,2019,73.0,77,Krátkometrážní,14,10
22.0,USA,1990,84.0,54,Animovaný,2,10
96.0,Japonsko,2019,79.0,21,Drama,5,3
20.0,USA,1999,77.0,14,Animovaný,2,10
1113.0,USA,(1997–2001),63.0,204,Animovaný,2,10
105.0,Japonsko,1990,93.0,103,Hudební,11,3
12.0,Česko,2019,6.0,273,Komedie,12,12
22.0,USA,2013,87.0,262,Animovaný,2,10
30.0,Česko,2019,18.0,78,Soutěžní,25,12
29.0,Česko,1999,85.0,21,Dokumentární,4,12
56.0,Francie,2018,81.0,34,Dokumentární,4,1
105.0,USA,2015,36.0,15,Western,29,10
30.0,USA,2019,84.0,10,Dokumentární,4,10
94.0,Kanada,2019,34.0,71,Romantický,23,4
45.0,Španělsko,2021,76.0,10,Drama,5,13
90.0,USA,2021,50.0,35,Komedie,12,10
26.0,Česko,2015,44.0,19,Dokumentární,4,12
8.0,Velká Británie,1990,79.0,30,Krátkometrážní,14,11
54.0,Česko,2019,78.0,21,Dokumentární,4,12
44.0,Velká Británie,2019,53.0,23,Krimi,13,11
113.0,Velká Británie,1989,65.0,136,Drama,5,11
440.0,Velká Británie,2002,81.0,50,Drama,5,11
100.0,Slovensko,2019,63.0,20,Hudební,11,9
68.0,Česko,2020,47.0,318,Komedie,12,12
63.0,Česko,2020,55.0,130,Komedie,12,12
61.0,Česko,2020,50.0,104,Komedie,12,12
24.0,USA,1993,84.0,65,Komedie,12,10
22.0,USA,1996,76.0,53,Komedie,12,10
22.0,USA,1998,74.0,52,Komedie,12,10
3.0,Velká Británie,2020,91.0,18,Krátkometrážní,14,11
147.0,Rakousko,1962,65.0,33,Drama,5,8
61.0,USA,2020,69.0,28,Dokumentární,4,10
7.0,Slovensko,2020,48.0,20,Komedie,12,9
85.0,USA,1998,28.0,12,Krimi,13,10
9.0,USA,2019,70.0,115,Krátkometrážní,14,10
400.0,Slovensko,2020,51.0,87,Rodinný,22,9
103.0,Německo,2020,66.0,39,Drama,5,6
45.0,USA,2020,79.0,28,Dokumentární,4,10
1035.0,Velká Británie,(2020–2024),68.0,144,Krimi,13,11
89.0,Česko,2020,71.0,402,Dokumentární,4,12
22.0,USA,2000,81.0,255,Animovaný,2,10
22.0,USA,2001,86.0,259,Animovaný,2,10
22.0,USA,2008,82.0,223,Animovaný,2,10
22.0,USA,2008,83.0,202,Animovaný,2,10
22.0,USA,2018,83.0,244,Animovaný,2,10
5.0,USA,1991,68.0,36,Krátkometrážní,14,10
51.0,Španělsko,2021,82.0,352,Drama,5,13
52.0,Velká Británie,2020,74.0,32,Drama,5,11
61.0,USA,2020,80.0,52,Dokumentární,4,10
155.0,Česko,2015,80.0,16,Drama,5,12
170.0,USA,2001,60.0,533,Fantasy,7,10
910.0,Japonsko,(2020–2024),73.0,193,Animovaný,2,3
70.0,USA,1939,78.0,45,Western,29,10
41.0,Španělsko,2020,68.0,31,Drama,5,13
25.0,USA,2020,81.0,41,Animovaný,2,10
45.0,USA,2021,55.0,65,Sci-Fi,24,10
50.0,USA,2022,63.0,1 152,Akční,1,10
7.0,Německo,2019,58.0,24,Krátkometrážní,14,6
24.0,Velká Británie,1988,87.0,20,Hudební,11,11
22.0,USA,1989,87.0,33,Animovaný,2,10
24.0,USA,1992,84.0,17,Animovaný,2,10
15.0,Česko,2020,58.0,13,Rodinný,22,12
275.0,Francie,2003,75.0,59,Krimi,13,1
90.0,USA,1995,62.0,13,Horor,10,10
14.0,Česko,2020,56.0,16,Rodinný,22,12
10.0,Česko,2020,33.0,98,Komedie,12,12
42.0,USA,2021,63.0,16,Akční,1,10
90.0,USA,1948,68.0,16,Western,29,10
104.0,USA,2021,47.0,73,Drama,5,10
91.0,USA,2020,19.0,18,Horor,10,10
30.0,USA,2020,73.0,564,Komedie,12,10
106.0,Španělsko,2020,67.0,11,Drama,5,13
55.0,Francie,1977,78.0,108,Životopisný,30,1
177.0,USA,(2020–2021),87.0,126,Animovaný,2,10
47.0,USA,2020,82.0,212,Dokumentární,4,10
95.0,Francie,2020,61.0,19,Drama,5,1
90.0,Německo,2004,47.0,15,Drama,5,6
3.0,USA,2014,65.0,11,Krátkometrážní,14,10
160.0,Francie,1993,77.0,15,Historický,9,1
105.0,Kanada,2020,60.0,855,Sci-Fi,24,4
96.0,USA,1998,57.0,97,Akční,1,10
309.0,USA,2020,82.0,477,Komedie,12,10
55.0,Česko,2020,43.0,41,Drama,5,12
50.0,USA,2020,64.0,34,Akční,1,10
91.0,Polsko,1995,75.0,187,Komedie,12,7
100.0,USA,2001,40.0,46,Dobrodružný,3,10
58.0,USA,2020,74.0,63,Drama,5,10
6.0,Česko,2013,54.0,16,Krátkometrážní,14,12
93.0,USA,2020,14.0,40,Akční,1,10
112.0,USA,2002,58.0,7 958,Komedie,12,10
44.0,USA,2021,81.0,59,Komedie,12,10
21.0,Česko,2020,43.0,22,Dokumentární,4,12
4.0,Česko,2020,54.0,13,Krátkometrážní,14,12
88.0,USA,1950,62.0,37,Dobrodružný,3,10
57.0,Česko,2020,87.0,17,Hudební,11,12
184.0,Německo,2001,66.0,47,Drama,5,6
568.0,Německo,(2020–2022),72.0,2 853,Akční,1,6
88.0,USA,1997,48.0,10,Animovaný,2,10
96.0,Německo,1992,78.0,89,Dokumentární,4,6
75.0,Velká Británie,1967,51.0,26,Sci-Fi,24,11
1032.0,Japonsko,(1987–1988),80.0,11,Animovaný,2,3
4.0,USA,2020,75.0,22,Krátkometrážní,14,10
26.0,Česko,2020,84.0,56,Dokumentární,4,12
93.0,USA,1987,57.0,46,Komedie,12,10
83.0,USA,2020,47.0,38,Dokumentární,4,10
10.0,Japonsko,2020,60.0,12,Dokumentární,4,3
21.0,USA,2004,82.0,48,Komedie,12,10
60.0,USA,2020,66.0,10,Dokumentární,4,10
100.0,Itálie,1962,74.0,18,Akční,1,2
292.0,Španělsko,2020,80.0,104,Drama,5,13
2280.0,Japonsko,(1996–1998),83.0,476,Animovaný,2,3
96.0,Japonsko,1972,85.0,133,Drama,5,3
48.0,Česko,2020,64.0,15,Krátkometrážní,14,12
75.0,USA,2001,76.0,351,Animovaný,2,10
22.0,USA,1998,75.0,24,Komedie,12,10
22.0,USA,1999,74.0,21,Komedie,12,10
50.0,USA,2021,48.0,47,Dokumentární,4,10
48.0,USA,2021,77.0,340,Dokumentární,4,10
47.0,USA,2022,67.0,11,Animovaný,2,10
71.0,USA,2024,87.0,1 956,Drama,5,10
99.0,Španělsko,1985,76.0,11,Drama,5,13
89.0,USA,1948,76.0,224,Drama,5,10
25.0,Česko,2020,83.0,14,Dokumentární,4,12
1191.0,Česko,2021,39.0,589,Drama,5,12
12.0,Česko,2020,58.0,11,Krátkometrážní,14,12
66.0,USA,1933,75.0,11,Drama,5,10
109.0,USA,1953,73.0,43,Dobrodružný,3,10
83.0,USA,1931,78.0,456,Drama,5,10
52.0,Francie,2021,74.0,18,Krimi,13,1
72.0,USA,1932,65.0,13,Drama,5,10
100.0,USA,2021,56.0,139,Životopisný,30,10
111.0,Japonsko,2001,75.0,17,Komedie,12,3
87.0,USA,2021,35.0,68,Thriller,28,10
32.0,USA,2021,63.0,24,Drama,5,10
28.0,USA,2021,78.0,35,Drama,5,10
77.0,Česko,2021,67.0,14,Drama,5,12
90.0,Německo,2015,46.0,58,Drama,5,6
542.0,USA,2016,66.0,102,Drama,5,10
100.0,USA,1973,73.0,14,Drama,5,10
43.0,Německo,2020,79.0,31,Dokumentární,4,6
44.0,USA,2021,74.0,94,Drama,5,10
30.0,Slovensko,2006,58.0,10,Krátkometrážní,14,9
22.0,USA,2004,72.0,10,Komedie,12,10
22.0,USA,2005,68.0,10,Komedie,12,10
194.0,Polsko,2021,53.0,15,Animovaný,2,7
104.0,Maďarsko,1999,64.0,35,Komedie,12,5
12.0,USA,1914,64.0,11,Komedie,12,10
